Round Jar-3004,Machine No E03
DATE,REJ/day
07-Sep-09,22
08-Sep-09,40
09-Sep-09,147
10-Sep-09,68
11-Sep-09,33
12-Sep-09,72
13-Sep-09,43
14-Sep-09,64
15-Sep-09,31
16-Sep-09,34
17-Sep-09,46
18-Sep-09,69
19-Sep-09,129
20-Sep-09,71
21-Sep-09,92
22-Sep-09,79
23-Sep-09,53
24-Sep-09,Screw barrel cleaning
25-Sep-09,32
26-Sep-09,46
27-Sep-09,28
28-Sep-09,21
29-Sep-09,33
30-Sep-09,13
01-Oct-09,26
02-Oct-09,41
03-Oct-09,8
04-Oct-09,12
05-Oct-09,4
06-Oct-09,6
07-Oct-09,6
08-Oct-09,14
